Entity,Code,Day,people_fully_vaccinated
Albania,ALB,2021-02-02,1
Albania,ALB,2021-02-09,438
Albania,ALB,2021-02-17,611
Albania,ALB,2021-02-18,611
Albania,ALB,2021-02-22,655
Andorra,AND,2021-03-08,1172
Andorra,AND,2021-03-10,1264
Argentina,ARG,2021-01-20,4394
Argentina,ARG,2021-01-21,16352
Argentina,ARG,2021-01-22,25146
Argentina,ARG,2021-01-23,29188
Argentina,ARG,2021-01-24,31987
Argentina,ARG,2021-01-25,32264
Argentina,ARG,2021-01-26,38911
Argentina,ARG,2021-01-27,45710
Argentina,ARG,2021-01-28,51451
Argentina,ARG,2021-01-29,65583
Argentina,ARG,2021-01-30,85361
Argentina,ARG,2021-02-01,94274
Argentina,ARG,2021-02-03,112366
Argentina,ARG,2021-02-04,146301
Argentina,ARG,2021-02-06,163882
Argentina,ARG,2021-02-07,181836
Argentina,ARG,2021-02-08,189264
Argentina,ARG,2021-02-09,190203
Argentina,ARG,2021-02-10,197531
Argentina,ARG,2021-02-11,210279
Argentina,ARG,2021-02-12,223609
Argentina,ARG,2021-02-13,234616
Argentina,ARG,2021-02-14,237483
Argentina,ARG,2021-02-15,237610
Argentina,ARG,2021-02-16,237916
Argentina,ARG,2021-02-17,238320
Argentina,ARG,2021-02-18,243184
Argentina,ARG,2021-02-19,253696
Argentina,ARG,2021-02-20,261534
Argentina,ARG,2021-02-21,263338
Argentina,ARG,2021-02-22,263412
Argentina,ARG,2021-02-23,264926
Argentina,ARG,2021-02-24,267061
Argentina,ARG,2021-02-25,271001
Argentina,ARG,2021-02-26,283280
Argentina,ARG,2021-02-27,290425
Argentina,ARG,2021-02-28,293432
Argentina,ARG,2021-03-01,293957
Argentina,ARG,2021-03-02,302662
Argentina,ARG,2021-03-03,306376
Argentina,ARG,2021-03-04,310766
Argentina,ARG,2021-03-05,327092
Argentina,ARG,2021-03-07,343204
Argentina,ARG,2021-03-08,343701
Argentina,ARG,2021-03-09,347170
Argentina,ARG,2021-03-10,349454
Argentina,ARG,2021-03-11,354519
Argentina,ARG,2021-03-12,378662
Argentina,ARG,2021-03-13,418625
Argentina,ARG,2021-03-14,448733
Argentina,ARG,2021-03-15,451311
Austria,AUT,2021-01-17,323
Austria,AUT,2021-01-18,1196
Austria,AUT,2021-01-19,2624
Austria,AUT,2021-01-20,3894
Austria,AUT,2021-01-21,4054
Austria,AUT,2021-01-22,4634
Austria,AUT,2021-01-23,4635
Austria,AUT,2021-01-24,4636
Austria,AUT,2021-01-25,4742
Austria,AUT,2021-01-26,5591
Austria,AUT,2021-01-27,6023
Austria,AUT,2021-01-28,8446
Austria,AUT,2021-01-29,17951
Austria,AUT,2021-01-30,20268
Austria,AUT,2021-01-31,21264
Austria,AUT,2021-02-01,24224
Austria,AUT,2021-02-02,37762
Austria,AUT,2021-02-03,51800
Austria,AUT,2021-02-04,68281
Austria,AUT,2021-02-05,84464
Austria,AUT,2021-02-06,90581
Austria,AUT,2021-02-07,94836
Austria,AUT,2021-02-08,102277
Austria,AUT,2021-02-09,118099
Austria,AUT,2021-02-10,135895
Austria,AUT,2021-02-11,154487
Austria,AUT,2021-02-12,172325
Austria,AUT,2021-02-13,177194
Austria,AUT,2021-02-14,178642
Austria,AUT,2021-02-15,181762
Austria,AUT,2021-02-16,189099
Austria,AUT,2021-02-17,198489
Austria,AUT,2021-02-18,206247
Austria,AUT,2021-02-19,214523
Austria,AUT,2021-02-20,216193
Austria,AUT,2021-02-21,216536
Austria,AUT,2021-02-22,218294
Austria,AUT,2021-02-23,222637
Austria,AUT,2021-02-24,225984
Austria,AUT,2021-02-25,229329
Austria,AUT,2021-02-26,233814
Austria,AUT,2021-02-27,235743
Austria,AUT,2021-02-28,236148
Austria,AUT,2021-03-01,236923
Austria,AUT,2021-03-02,239141
Austria,AUT,2021-03-03,241312
Austria,AUT,2021-03-04,243951
Austria,AUT,2021-03-05,246678
Austria,AUT,2021-03-06,249070
Austria,AUT,2021-03-07,249694
Austria,AUT,2021-03-08,251024
Austria,AUT,2021-03-09,254322
Austria,AUT,2021-03-10,258402
Austria,AUT,2021-03-11,263401
Austria,AUT,2021-03-12,267635
Austria,AUT,2021-03-13,272575
Austria,AUT,2021-03-14,274884
Bahrain,BHR,2021-03-06,199374
Bahrain,BHR,2021-03-07,201442
Bahrain,BHR,2021-03-08,202679
Bahrain,BHR,2021-03-09,203915
Bahrain,BHR,2021-03-10,206072
Bahrain,BHR,2021-03-11,208325
Bahrain,BHR,2021-03-12,210225
Bahrain,BHR,2021-03-13,212117
Bahrain,BHR,2021-03-14,214181
Bahrain,BHR,2021-03-15,216826
Belgium,BEL,2021-01-18,109
Belgium,BEL,2021-01-19,290
Belgium,BEL,2021-01-20,713
Belgium,BEL,2021-01-21,713
Belgium,BEL,2021-01-22,745
Belgium,BEL,2021-01-23,752
Belgium,BEL,2021-01-24,752
Belgium,BEL,2021-01-25,752
Belgium,BEL,2021-01-26,2337
Belgium,BEL,2021-01-27,5739
Belgium,BEL,2021-01-28,13117
Belgium,BEL,2021-01-29,21886
Belgium,BEL,2021-01-30,24758
Belgium,BEL,2021-01-31,25086
Belgium,BEL,2021-02-01,28815
Belgium,BEL,2021-02-02,42437
Belgium,BEL,2021-02-03,62643
Belgium,BEL,2021-02-04,86246
Belgium,BEL,2021-02-05,108581
Belgium,BEL,2021-02-06,113701
Belgium,BEL,2021-02-07,116519
Belgium,BEL,2021-02-08,124245
Belgium,BEL,2021-02-09,143383
Belgium,BEL,2021-02-10,161974
Belgium,BEL,2021-02-11,189826
Belgium,BEL,2021-02-12,217200
Belgium,BEL,2021-02-13,225075
Belgium,BEL,2021-02-14,226919
Belgium,BEL,2021-02-15,238325
Belgium,BEL,2021-02-16,248653
Belgium,BEL,2021-02-17,261160
Belgium,BEL,2021-02-18,277274
Belgium,BEL,2021-02-19,289966
Belgium,BEL,2021-02-20,291537
Belgium,BEL,2021-02-21,291798
Belgium,BEL,2021-02-22,294588
Belgium,BEL,2021-02-23,302051
Belgium,BEL,2021-02-24,309977
Belgium,BEL,2021-02-25,318338
Belgium,BEL,2021-02-26,324878
Belgium,BEL,2021-02-27,325625
Belgium,BEL,2021-02-28,325846
Belgium,BEL,2021-03-01,328516
Belgium,BEL,2021-03-02,335114
Belgium,BEL,2021-03-03,340880
Belgium,BEL,2021-03-04,348899
Belgium,BEL,2021-03-05,354798
Belgium,BEL,2021-03-06,355363
Belgium,BEL,2021-03-07,355539
Belgium,BEL,2021-03-08,357154
Belgium,BEL,2021-03-09,363607
Belgium,BEL,2021-03-10,371431
Belgium,BEL,2021-03-11,378498
Belgium,BEL,2021-03-12,388109
Belgium,BEL,2021-03-13,389167
Belgium,BEL,2021-03-14,389913
Bermuda,BMU,2021-02-06,1591
Bermuda,BMU,2021-02-09,1600
Bermuda,BMU,2021-02-22,4769
Bermuda,BMU,2021-02-27,7046
Bermuda,BMU,2021-03-03,8645
Bermuda,BMU,2021-03-10,10332
Bolivia,BOL,2021-03-02,9162
Bolivia,BOL,2021-03-03,9540
Bolivia,BOL,2021-03-04,9700
Bolivia,BOL,2021-03-05,9785
Bolivia,BOL,2021-03-06,9785
Bolivia,BOL,2021-03-07,9785
Bolivia,BOL,2021-03-08,9830
Bolivia,BOL,2021-03-09,9870
Bolivia,BOL,2021-03-10,9878
Bolivia,BOL,2021-03-11,9938
Bolivia,BOL,2021-03-12,9951
Bolivia,BOL,2021-03-13,9951
Bolivia,BOL,2021-03-14,9951
Bolivia,BOL,2021-03-15,9996
Brazil,BRA,2021-02-06,1962
Brazil,BRA,2021-02-07,19677
Brazil,BRA,2021-02-08,25688
Brazil,BRA,2021-02-09,33616
Brazil,BRA,2021-02-10,50655
Brazil,BRA,2021-02-11,80760
Brazil,BRA,2021-02-12,109866
Brazil,BRA,2021-02-13,178468
Brazil,BRA,2021-02-14,194230
Brazil,BRA,2021-02-15,217869
Brazil,BRA,2021-02-16,285620
Brazil,BRA,2021-02-17,557532
Brazil,BRA,2021-02-18,723755
Brazil,BRA,2021-02-19,894673
Brazil,BRA,2021-02-20,1056807
Brazil,BRA,2021-02-21,1132894
Brazil,BRA,2021-02-22,1171276
Brazil,BRA,2021-02-23,1294188
Brazil,BRA,2021-02-24,1435594
Brazil,BRA,2021-02-25,1596945
Brazil,BRA,2021-02-26,1755018
Brazil,BRA,2021-02-27,1884206
Brazil,BRA,2021-02-28,1914940
Brazil,BRA,2021-03-01,1923197
Brazil,BRA,2021-03-02,2034734
Brazil,BRA,2021-03-03,2163103
Brazil,BRA,2021-03-04,2321824
Brazil,BRA,2021-03-05,2468014
Brazil,BRA,2021-03-10,2510956
Brazil,BRA,2021-03-11,2648615
Brazil,BRA,2021-03-12,2789164
Brazil,BRA,2021-03-13,2849230
Brazil,BRA,2021-03-14,2860819
Brazil,BRA,2021-03-15,2976204
